Date,close
23/9/2020|19-30-32,110.77
23/9/2020|19-30-39,110.74
23/9/2020|19-30-53,110.71
23/9/2020|19-30-59,110.94
23/9/2020|19-31-5,110.95
23/9/2020|19-31-10,110.95
23/9/2020|19-31-23,110.93
23/9/2020|19-31-28,110.92
23/9/2020|19-31-33,110.93
23/9/2020|19-31-38,110.95
23/9/2020|19-31-44,111.02
23/9/2020|19-31-49,111.14
23/9/2020|19-31-55,111.21
23/9/2020|19-32-1,111.17
23/9/2020|19-32-7,111.13
23/9/2020|19-32-13,111.07
23/9/2020|19-32-19,111.12
23/9/2020|19-32-25,111.07
23/9/2020|19-32-30,111.04
23/9/2020|19-32-35,111.05
23/9/2020|19-32-41,111.07
23/9/2020|19-32-48,111.13
23/9/2020|19-32-54,111.09
23/9/2020|19-32-59,111.08
23/9/2020|19-33-5,111.02
23/9/2020|19-33-11,111.05
23/9/2020|19-33-18,111.12
23/9/2020|19-33-23,111.09
23/9/2020|19-33-30,111.12
23/9/2020|19-33-35,111.16
23/9/2020|19-33-43,111.15
23/9/2020|19-33-48,111.14
23/9/2020|19-33-54,111.16
23/9/2020|19-34-0,111.15
23/9/2020|19-34-6,111.07
23/9/2020|19-34-12,111.08
23/9/2020|19-34-19,111.07
23/9/2020|19-34-25,111.0
23/9/2020|19-34-31,111.06
23/9/2020|19-34-36,110.98
23/9/2020|19-34-43,110.98
23/9/2020|19-34-48,110.97
23/9/2020|19-34-54,111.03
